"softwareType","industryDomain","numUsers","targetMarket","adminDashboard","contentManagement","extraFeatures","thirdPartyService","authentication","dataMigration","uiUxDesign","performance","security","availability","timeline_months","Price"
"Hybrid","Restaurant_Management","100-500","Both","Professional","Workflow","Reporting_and_Analysis","Analytics, Payment_Gateway","Multi_Factor","Yes","Custom","High","High","Always","22","1860"
"Web","Hotel_Management","10/30","Local","Advanced","Blog","Reporting_and_Analysis","Map","Multi_Factor","Yes","Advanced","High","High","Always","9","1225"
"Desktop","Real_Estate","01/10","Global","Professional","Pages_and_Media","File_Handling","Mail","Null","Yes","Custom","High","High","Always","11","1295"
"Mobile","Gaming","30-50","Local","Null","Null","Social_Leaderboards","Social","Null","No","Custom","High","Null","Always","5","615"
"Hybrid","Education","500-1000","Local","Basic","Blog","AI_ML_Module","Mail","Null","No","Basic","Basic","Null","Normal","16","1005"
"Web","Logistics","30-50","Global","Advanced","Null","Map","Analytics","Multi_Factor","Yes","Advanced","High","High","Always","14","1515"
"Desktop","Content_Management","50-100","Local","Null","Pages_and_Media","Search_and_Filter","Mail","Null","No","Basic","Basic","Null","Normal","6","560"
"Mobile","Healthcare","500-1000","Global","Professional","Pages_and_Media","Reporting_and_Analysis","Analytics, Mail","Multi_Factor","Yes","Custom","High","High","Always","14","1498"
"Hybrid","Fintech","50-100","Both","Advanced","Workflow","AI_ML_Module","Mail, Analytics","Multi_Factor","Yes","Advanced","High","High","Always","12","1545"
"Web","Social_Networking","100-500","Local","Null","Workflow","File_Handling","Mail","Null","Null","Custom","High","High","Always","8","995"
"Desktop","Ecommerce","30-50","Global","Professional","Pages_and_Media","AI_ML_Module","Analytics, Payment_Gateway","Multi_Factor","Yes","Advanced","High","High","Always","26","1855"
"Mobile","Travel","50-100","Local","Basic","Blog","Offile_Mode","Map","Social","No","Custom","Medium","Null","Normal","7","745"
"Hybrid","Healthcare","10/30","Global","Advanced","Pages_and_Media","File_Handling","Analytics, Payment_Gateway","Multi_Factor","Yes","Custom","High","High","Always","12","1360"
"Web","Content_Management","500-1000","Local","Basic","Blog","AI_ML_Module","Analytics","Null","Yes","Basic","High","Null","Normal","18","1105"
"Desktop","Restaurant_Management","30-50","Local","Advanced","Workflow","Offile_Mode","Map, Payment_Gateway","Multi_Factor","Yes","Custom","High","High","Always","10","1350"
"Mobile","Fintech","10/30","Global","Professional","Workflow","Reporting_and_Analysis","Mail, Payment_Gateway","Multi_Factor","Yes","Custom","High","High","Always","8","1515"
"Hybrid","Others","30-50","Global","Null","Pages_and_Media","AI_ML_Module","Analytics","Null","No","Custom","Medium","Null","Normal","6","820"
"Web","Edtech","500-1000","Both","Professional","Pages_and_Media","Reporting_and_Analysis","Mail, Analytics","Multi_Factor","Yes","Advanced","High","High","Always","26","1880"
"Desktop","Hotel_Management","50-100","Local","Advanced","Workflow","Reporting_and_Analysis","Mail, Analytics","Multi_Factor","Yes","Custom","High","High","Always","15","1610"
"Mobile","Content_Management","01/10","Global","Basic","Blog","Search_and_Filter","Mail","Null","No","Basic","Medium","Null","Normal","4","485"
